Region.Label,Area,Sample.Label,object,Effort,Census,distance,dist
Mara,443,1,1,3.06,2,3,1
Mara,443,1,2,3.06,2,8,2
Mara,443,2,NA,3,,NA,
Mara,443,3,NA,3.02,,NA,
Mara,443,4,3,3.127,2,3,1
Mara,443,4,4,3.127,2,7,2
Mara,443,5,NA,3,,NA,
Mara,443,6,NA,3,,NA,
Mara,443,7,5,3,2,5,1
Mara,443,8,6,3.04,2,20,4
Mara,443,8,7,3.04,2,29,6
Mara,443,8,8,3.04,3,14,3
Mara,443,8,9,3.04,3,29,6
Mara,443,9,NA,3,,NA,
Mara,443,10,NA,3.02,,NA,
Mara,443,11,10,3,2,9,2
Mara,443,11,11,3,2,11,3
Mara,443,11,12,3,2,14,3
Mara,443,11,13,3,2,16,4
Mara,443,11,14,3,3,5,1
Mara,443,12,15,3,2,9,2
Mara,443,12,16,3,2,12,3
Mara,443,12,17,3,2,14,3
Mara,443,12,18,3,2,19,4
Mara,443,12,19,3,2,21,5
Mara,443,13,20,3.121,2,8,2
Mara,443,13,21,3.121,2,13,3
Mara,443,13,22,3.121,2,15,3
Mara,443,13,23,3.121,2,23,5
Mara,443,13,24,3.121,3,1,1
Mara,443,13,25,3.121,3,1,1
Mara,443,13,26,3.121,3,1,1
Mara,443,14,27,3.05,3,31,7
Mara,443,14,28,3.05,2,19,4
Mara,443,14,29,3.05,2,21,5
Mara,443,14,30,3.05,2,22,5
Mara,443,15,NA,3.05,,NA,
Mara,443,16,NA,3,,NA,
Mara,443,17,NA,3,,NA,
Mara,443,18,31,3,2,4,1
Mara,443,18,32,3,2,7,2
Mara,443,18,33,3,2,10,2
Mara,443,18,34,3,2,11,3
Mara,443,18,35,3,2,12,3
Mara,443,18,36,3,2,14,3
Mara,443,18,37,3,2,17,4
Mara,443,18,38,3,2,20,4
Mara,443,18,39,3,3,10,2
Mara,443,18,40,3,3,13,3
Mara,443,19,41,3.313,3,11,3
Mara,443,19,42,3.313,3,13,3
Mara,443,19,43,3.313,3,15,3
Mara,443,19,44,3.313,3,15,3
Mara,443,19,45,3.313,2,15,3
Mara,443,20,46,3,2,4,1
