Region.Label,Area,Sample.Label,object,Effort,distance,dist
Mara,443,1,1,3.071,5,1
Mara,443,1,2,3.071,11,3
Mara,443,2,NA,3.14,NA,NA
Mara,443,3,3,3.005,10,2
Mara,443,4,4,3.157,3,1
Mara,443,4,5,3.157,3,1
Mara,443,4,6,3.157,5,1
Mara,443,4,7,3.157,20,4
Mara,443,5,NA,3.142,NA,NA
Mara,443,6,NA,3.084,NA,NA
Mara,443,7,8,3.024,5,1
Mara,443,8,9,3.134,2,1
Mara,443,8,10,3.134,2,1
Mara,443,9,NA,2.5,NA,NA
Mara,443,10,NA,3,NA,NA
Mara,443,11,11,3,11,3
Mara,443,11,12,3,13,3
Mara,443,12,13,1.7,10,2
Mara,443,13,NA,3.088,NA,NA
Mara,443,14,14,3.04,10,2
Mara,443,15,NA,2.5,NA,NA
Mara,443,16,NA,3.006,NA,NA
Mara,443,17,15,3.007,0,1
Mara,443,18,NA,3.047,NA,NA
Mara,443,19,16,3.089,3,1
Mara,443,19,17,3.089,7,2
Mara,443,19,18,3.089,9,2
Mara,443,19,19,3.089,9,2
Mara,443,19,20,3.089,12,3
Mara,443,19,21,3.089,18,4
Mara,443,20,NA,3.171,NA,NA
Mara,443,21,NA,3.019,NA,NA
Mara,443,22,NA,3,NA,NA
Mara,443,23,NA,3,NA,NA
Mara,443,24,22,3.094,6,2
Mara,443,24,23,3.094,15,3
Mara,443,24,24,3.094,18,4
Mara,443,25,25,3.129,4,1
Mara,443,25,26,3.129,11,3
Mara,443,25,27,3.129,12,3
Mara,443,25,28,3.129,17,4
Mara,443,26,NA,2.255,NA,NA
Mara,443,27,NA,2.4,NA,NA
Mara,443,28,29,3,5,1
Mara,443,28,30,3,5,1
Mara,443,28,31,3,6,2
Mara,443,28,32,3,6,2
Mara,443,28,33,3,7,2
Mara,443,28,34,3,7,2
Mara,443,28,35,3,8,2
Mara,443,28,36,3,8,2
Mara,443,28,37,3,10,2
Mara,443,28,38,3,10,2
Mara,443,28,39,3,11,3
Mara,443,28,40,3,15,3
Mara,443,28,41,3,15,3
Mara,443,28,42,3,29,6
Mara,443,28,43,3,34,7
Mara,443,29,44,3,28,6
Mara,443,29,45,3,29,6
Mara,443,30,NA,3.105,NA,NA
Mara,443,31,46,3.03,0,1
Mara,443,31,47,3.03,0,1
Mara,443,31,48,3.03,1,1
Mara,443,31,49,3.03,1,1
Mara,443,31,50,3.03,2,1
Mara,443,31,51,3.03,3,1
Mara,443,31,52,3.03,4,1
Mara,443,31,53,3.03,4,1
Mara,443,31,54,3.03,5,1
Mara,443,31,55,3.03,6,2
Mara,443,31,56,3.03,7,2
Mara,443,31,57,3.03,8,2
Mara,443,31,58,3.03,8,2
Mara,443,31,59,3.03,10,2
Mara,443,31,60,3.03,10,2
Mara,443,31,61,3.03,11,3
Mara,443,31,62,3.03,11,3
Mara,443,31,63,3.03,15,3
Mara,443,31,64,3.03,15,3
Mara,443,31,65,3.03,21,5
Mara,443,32,NA,3,NA,NA
Mara,443,33,66,3.019,1,1
Mara,443,34,NA,2.029,NA,NA
Mara,443,35,NA,3,NA,NA
Mara,443,36,67,3.075,0,1
Mara,443,36,68,3.075,0,1
Mara,443,36,69,3.075,0,1
Mara,443,36,70,3.075,1,1
Mara,443,36,71,3.075,3,1
Mara,443,36,72,3.075,3,1
Mara,443,36,73,3.075,4,1
Mara,443,36,74,3.075,5,1
Mara,443,36,75,3.075,5,1
Mara,443,36,76,3.075,5,1
Mara,443,36,77,3.075,8,2
Mara,443,36,78,3.075,10,2
Mara,443,36,79,3.075,10,2
Mara,443,36,80,3.075,13,3
Mara,443,36,81,3.075,13,3
Mara,443,36,82,3.075,15,3
Mara,443,36,83,3.075,16,4
Mara,443,36,84,3.075,16,4
Mara,443,36,85,3.075,31,7
Mara,443,36,86,3.075,31,7
Kalinzu,137,37,87,3,0,1
Kalinzu,137,37,88,3,6,2
Kalinzu,137,37,89,3,6,2
Kalinzu,137,37,90,3,6,2
Kalinzu,137,37,91,3,6,2
Kalinzu,137,37,92,3,8,2
Kalinzu,137,37,93,3,9,2
Kalinzu,137,37,94,3,9,2
Kalinzu,137,37,95,3,12,3
Kalinzu,137,37,96,3,12,3
Kalinzu,137,37,97,3,13,3
Kalinzu,137,37,98,3,13,3
Kalinzu,137,37,99,3,14,3
Kalinzu,137,37,100,3,16,4
Kalinzu,137,37,101,3,17,4
Kalinzu,137,37,102,3,17,4
Kalinzu,137,37,103,3,17,4
Kalinzu,137,37,104,3,20,4
Kalinzu,137,37,105,3,20,4
Kalinzu,137,37,106,3,24,5
Kalinzu,137,37,107,3,34,7
Kalinzu,137,37,108,3,34,7
Kalinzu,137,37,109,3,66,12
Kalinzu,137,37,110,3,66,12
Kalinzu,137,37,111,3,66,12
Kalinzu,137,37,112,3,66,12
Kalinzu,137,38,113,3.055,1,1
Kalinzu,137,38,114,3.055,2,1
Kalinzu,137,38,115,3.055,2,1
Kalinzu,137,38,116,3.055,3,1
Kalinzu,137,38,117,3.055,3,1
Kalinzu,137,38,118,3.055,3,1
Kalinzu,137,38,119,3.055,3,1
Kalinzu,137,38,120,3.055,5,1
Kalinzu,137,38,121,3.055,5,1
Kalinzu,137,38,122,3.055,5,1
Kalinzu,137,38,123,3.055,6,2
Kalinzu,137,38,124,3.055,6,2
Kalinzu,137,38,125,3.055,7,2
Kalinzu,137,38,126,3.055,7,2
Kalinzu,137,38,127,3.055,7,2
Kalinzu,137,38,128,3.055,8,2
Kalinzu,137,38,129,3.055,8,2
Kalinzu,137,38,130,3.055,8,2
Kalinzu,137,38,131,3.055,8,2
Kalinzu,137,38,132,3.055,8,2
Kalinzu,137,38,133,3.055,8,2
Kalinzu,137,38,134,3.055,8,2
Kalinzu,137,38,135,3.055,9,2
Kalinzu,137,38,136,3.055,9,2
Kalinzu,137,38,137,3.055,9,2
Kalinzu,137,38,138,3.055,10,2
Kalinzu,137,38,139,3.055,10,2
Kalinzu,137,38,140,3.055,11,3
Kalinzu,137,38,141,3.055,11,3
Kalinzu,137,38,142,3.055,12,3
Kalinzu,137,38,143,3.055,13,3
Kalinzu,137,38,144,3.055,13,3
Kalinzu,137,38,145,3.055,14,3
Kalinzu,137,38,146,3.055,15,3
Kalinzu,137,38,147,3.055,15,3
Kalinzu,137,38,148,3.055,16,4
Kalinzu,137,39,149,3.072,1,1
Kalinzu,137,39,150,3.072,2,1
Kalinzu,137,39,151,3.072,3,1
Kalinzu,137,39,152,3.072,3,1
Kalinzu,137,39,153,3.072,10,2
Kalinzu,137,39,154,3.072,10,2
Kalinzu,137,39,155,3.072,10,2
Kalinzu,137,39,156,3.072,10,2
Kalinzu,137,39,157,3.072,19,4
Kalinzu,137,39,158,3.072,20,4
Kalinzu,137,39,159,3.072,20,4
Kalinzu,137,40,160,3,0,1
Kalinzu,137,40,161,3,1,1
Kalinzu,137,40,162,3,1,1
Kalinzu,137,40,163,3,3,1
Kalinzu,137,40,164,3,3,1
Kalinzu,137,40,165,3,4,1
Kalinzu,137,40,166,3,4,1
Kalinzu,137,40,167,3,6,2
Kalinzu,137,40,168,3,7,2
Kalinzu,137,40,169,3,7,2
Kalinzu,137,40,170,3,7,2
Kalinzu,137,40,171,3,8,2
Kalinzu,137,40,172,3,8,2
Kalinzu,137,40,173,3,9,2
Kalinzu,137,40,174,3,10,2
Kalinzu,137,40,175,3,10,2
Kalinzu,137,40,176,3,10,2
Kalinzu,137,40,177,3,11,3
Kalinzu,137,40,178,3,13,3
Kalinzu,137,40,179,3,13,3
Kalinzu,137,40,180,3,13,3
Kalinzu,137,40,181,3,13,3
Kalinzu,137,40,182,3,16,4
Kalinzu,137,40,183,3,17,4
Kalinzu,137,40,184,3,17,4
Kalinzu,137,40,185,3,17,4
Kalinzu,137,40,186,3,18,4
Kalinzu,137,40,187,3,20,4
Kalinzu,137,40,188,3,21,5
Kalinzu,137,40,189,3,21,5
Kalinzu,137,40,190,3,22,5
Kalinzu,137,40,191,3,23,5
Kalinzu,137,40,192,3,24,5
Kalinzu,137,40,193,3,26,6
Kalinzu,137,41,NA,3.052,NA,NA
Kalinzu,137,42,194,3.042,10,2
Kalinzu,137,42,195,3.042,10,2
Kalinzu,137,42,196,3.042,13,3
Kalinzu,137,42,197,3.042,14,3
Kalinzu,137,42,198,3.042,15,3
Kalinzu,137,42,199,3.042,15,3
Kalinzu,137,42,200,3.042,17,4
Kalinzu,137,42,201,3.042,18,4
Kalinzu,137,43,202,3,1,1
Kalinzu,137,43,203,3,5,1
Kalinzu,137,43,204,3,5,1
Kalinzu,137,43,205,3,5,1
